OBJECTID,Shape_Leng,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,tas_annual_baseline_81_00_media,tas_annual_01_20_median,tas_annual_change_01_20_median,tas_annual_change_15_median,tas_annual_change_20_median,tas_annual_change_25_median,tas_annual_change_30_median,tas_annual_change_40_median,tas_annual_baseline_81_00_upper,tas_annual_01_20_upper,tas_annual_change_01_20_upper,tas_annual_change_15_upper,tas_annual_change_20_upper,tas_annual_change_25_upper,tas_annual_change_30_upper,tas_annual_change_40_upper,tas_annual_baseline_81_00_lower,tas_annual_01_20_lower,tas_annual_change_01_20_lower,tas_annual_change_15_lower,tas_annual_change_20_lower,tas_annual_change_25_lower,tas_annual_change_30_lower,tas_annual_change_40_lower,SHAPE_Length,SHAPE_Area,,Comments,
16,48000,50.23917329,-5.00249766,42000,186000,10.73708605,11.3952908,0.658204753,0.960346137,1.504988038,1.920721416,2.321945194,3.131472543,10.74296441,11.68756944,0.944605035,1.293247975,1.756970486,1.995740534,2.508807199,3.514771774,10.73504991,11.31675347,0.581703559,0.862769201,1.326552683,1.837478195,2.137505374,2.824170077,48000,-144000000,,,
17,48000,50.24339657,-4.83443427,42000,198000,10.71770888,11.39448568,0.676776801,0.971355097,1.511804135,1.935556201,2.34490702,3.177074859,10.72054688,11.66548611,0.944939236,1.311031333,1.797992673,2.038181579,2.539572483,3.584062758,10.71525499,11.310523,0.595268012,0.875934606,1.341558573,1.874579406,2.154268767,2.870942874,48000,-144000000,,,
18,48000,50.26087033,-3.99357523,42000,258000,10.6146365,11.33971625,0.725079753,1.011499411,1.573138331,2.004031498,2.438481729,3.276895255,10.61557292,11.5810178,0.965444878,1.38999721,1.89109716,2.14655661,2.685890894,3.708314835,10.61234918,11.24895291,0.636603733,0.924898934,1.384862971,1.971704696,2.264710958,3.036332207,48000,-144000000,,,
19,48000,50.26363391,-3.8253116,42000,270000,10.8330485,11.54668294,0.71363444,1.012895172,1.564569227,1.991639152,2.425953156,3.248374824,10.83673937,11.77927517,0.942535807,1.372069692,1.854091952,2.11089172,2.668172691,3.68166522,10.83108507,11.46937717,0.638292101,0.920622313,1.378032821,1.96457796,2.244651538,3.008409392,48000,-144000000,,,
20,48000,50.26615574,-3.6570231,42000,282000,10.80683594,11.51682888,0.709992947,1.011435004,1.580246492,1.991858362,2.441906855,3.269962617,10.8090549,11.76045681,0.95140191,1.378994812,1.859274657,2.114807478,2.670666233,3.683638083,10.8050217,11.43914931,0.634127604,0.926368428,1.38041212,1.966531498,2.255377501,3.021573867,48000,-144000000,,,
21,48000,50.34246341,-5.17769363,54000,174000,10.70686089,11.37536675,0.668505859,0.969825614,1.497306238,1.920682095,2.314540654,3.125517888,10.70952474,11.65647786,0.946953125,1.281462984,1.754126209,1.993513197,2.521537595,3.493346716,10.70424913,11.28343316,0.579184028,0.865385458,1.336870091,1.799175037,2.141077732,2.786812479,48000,-144000000,,,
22,48000,50.34694618,-5.00929319,54000,186000,10.43001736,11.10509332,0.675075955,0.968816499,1.510102332,1.934227766,2.335783265,3.166286246,10.43513889,11.38505317,0.94991428,1.305485956,1.789141968,2.025326451,2.532344163,3.544902654,10.42796875,11.01370877,0.585740017,0.866718543,1.334898262,1.845079003,2.14877816,2.837394645,48000,-144000000,,,
23,48000,50.35118538,-4.84085087,54000,198000,10.35523709,11.04004666,0.68480957,0.973804848,1.512175693,1.937698516,2.348910151,3.187028641,10.35816623,11.30097656,0.94281033,1.315966229,1.814670397,2.056741123,2.548529938,3.599216683,10.35332791,10.95597873,0.602650825,0.87607024,1.345212312,1.895070271,2.157196801,2.892412368,48000,-144000000,,,
24,48000,50.35518101,-4.6723691,54000,210000,10.53920464,11.23530219,0.696097548,0.98599692,1.525044643,1.949904927,2.372344267,3.220262483,10.54167752,11.48080078,0.939123264,1.334747541,1.840111917,2.084807219,2.577647363,3.622154018,10.53658854,11.15104601,0.614457465,0.89124752,1.36427352,1.920056424,2.179326327,2.940275711,48000,-144000000,,,
25,48000,50.3589332,-4.50384975,54000,222000,10.42436144,11.12601997,0.701658529,1.000332522,1.537307607,1.964593254,2.387524621,3.243073227,10.4276237,11.37292101,0.945297309,1.350723483,1.857368242,2.116858466,2.605871569,3.668285125,10.42241211,11.04162652,0.61921441,0.898877987,1.368875868,1.925039062,2.204807478,2.970835658,48000,-144000000,,,
